Domain,Age,Level of Study,Activity Level,Reputation,Accessibility,Moderation,Gender,Country,Recommended chat rooms,SAMPLE NOTTOINCLUDE,Unnamed: 11,Agriculture,Anthro,Business Analytics,CommunicationTechnology,Data Science,Early childhood,Finance,Unnamed: 19,Writing,Food science,Unnamed: 22,Unnamed: 23,Gender studies,Geology ,Health and Wellness,Hostpiatlity Management,Humanities,Information systems,International Business,International relations,Journalism,Legal  studies,Linguistics,Logistics and supply chain,Management,media and communication,Performing arts,public administration,Public health,social work,Sports science ,visual arts,Unnamed: 44,Unnamed: 45,Unnamed: 46,Domain.1
legal studies,23,College,High,3.7,Medium,Fair,Male,US,Legal System and Institutions, Legal System and Institutions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Legal Studies
environmental science,26,College,Medium,4.1,Easy,Fair,Male,India,Environmental Science,Environmental Science,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Environmental Science
linguistics,24,College,High,4.1,Easy,Fair,Female,UK,Pragmatics, Pragmatics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Linguistics
communications technology,29,College,Low,4.8,Medium,Good,Female,US,Virtual Reality and Augmented Reality, Virtual Reality and Augmented Reality,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Communications Technology
sports science,25,High School,High,3.9,Medium,Fair,Male,Australia,Sports Psychology and Mental Skills Training, Sports Psychology and Mental Skills Training,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sports Science
data science,28,College,Medium,3.7,Medium,Fair,Female,Australia,Big Data Analytics, Big Data Analytics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Data Science
early childhood education,18,High School,High,4.5,Medium,Fair,Female,US,Health and Nutrition Education, Health and Nutrition Education,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Early Childhood Education
environmental science,24,College,Low,4.7,Easy,Fair,Male,US,Environmental Science,Environmental Science,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Environmental Science
sports science,19,College,Medium,4.7,Easy,Fair,Female,UK,Sports Rehabilitation and Recovery, Sports Rehabilitation and Recovery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sports Science
finance,23,High School,Low,4.9,Easy,Fair,Male,UK,Investment Analysis and Portfolio Management, Investment Analysis and Portfolio Management,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Finance
data science,26,High School,High,3.7,Medium,Good,Female,US,Time Series Analysis, Time Series Analysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Data Science
health and wellness,22,High School,Low,4.0,Easy,Fair,Male,India,Community Health, Community Health,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Health and Wellness
international relations,24,College,Low,4.9,Medium,Fair,Male,Australia,Power Politics and Geopolitics, Power Politics and Geopolitics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,International Relations
agriculture,31,College,High,4.8,Medium,Fair,Female,Australia,Agricultural Engineering, Agricultural Engineering,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Agriculture
writing,19,College,Low,4.7,Easy,Fair,Female,Australia,Writing for Children, Writing for Children,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Writing
communications technology,24,College,Low,3.8,Easy,Good,Female,UK,Information Theory, Information Theory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Communications Technology
information systems,27,College,Medium,4.5,Medium,Fair,Female,Australia,Database Management Systems, Database Management Systems,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Information Systems
sports science,29,High School,Low,4.6,Medium,Fair,Female,Australia,Performance Analysis in Sports, Performance Analysis in Sports,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sports Science
early childhood education,18,High School,Low,4.0,Medium,Good,Male,US,Science and Discovery, Science and Discovery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Early Childhood Education
performing arts,27,College,Medium,3.7,Medium,Good,Female,UK,Media Effects and Influence, Media Effects and Influence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Performing Arts
early childhood education,22,College,High,4.6,Medium,Good,Male,UK,Outdoor and Nature Exploration, Outdoor and Nature Exploration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Early Childhood Education
agriculture,19,High School,High,3.5,Easy,Good,Female,UK,Crop Production and Management, Crop Production and Management,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Agriculture
data science,25,College,High,4.0,Easy,Good,Female,Canada,Big Data Analytics, Big Data Analytics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Data Science
linguistics,26,College,High,4.9,Easy,Fair,Female,India,Sociolinguistics, Sociolinguistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Linguistics
performing arts,28,High School,Medium,4.8,Medium,Good,Female,Australia,Media Psychology, Media Psychology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Performing Arts
management,26,High School,Medium,4.0,Easy,Fair,Male,UK,Conflict Resolution and Negotiation, Conflict Resolution and Negotiation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Management
international relations,28,College,Low,3.8,Medium,Fair,Male,US,International Political Economy, International Political Economy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,International Relations
food science,23,College,Medium,4.2,Easy,Good,Female,UK,Food Sensory Analysis, Food Sensory Analysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food Science
logistics and supply chain management,21,College,Medium,4.3,Medium,Fair,Male,India,Supplier Relationship Management, Supplier Relationship Management,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Logistics and Supply Chain Management
media and communication studies,21,College,High,3.9,Medium,Fair,Male,India,Communication Theory, Communication Theory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Media and Communication Studies
public health,22,High School,High,4.2,Easy,Good,Female,Canada,Health Promotion and Disease Prevention, Health Promotion and Disease Prevention,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Public Health
information systems,24,College,Medium,4.7,Easy,Fair,Male,India,Artificial Intelligence and Machine Learning in Information Systems, Artificial Intelligence and Machine Learning in Information Systems,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Information Systems
writing,27,High School,Low,3.8,Easy,Good,Female,Australia,Writing for Social Media, Writing for Social Media,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Writing
international business,19,High School,Low,3.8,Medium,Good,Female,Canada,International Economic Policies and Trade Agreements, International Economic Policies and Trade Agreements,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,International Business
environmental science,25,College,High,3.7,Easy,Good,Male,Canada,Environmental Science,Environmental Science,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Environmental Science
public administration,23,College,High,4.7,Medium,Good,Female,US,Public Policy Analysis, Public Policy Analysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Public Administration
information systems,25,High School,Low,3.9,Medium,Good,Female,Canada,Database Management Systems, Database Management Systems,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Information Systems
early childhood education,29,College,High,3.9,Medium,Good,Male,India,Communication and Language Skills, Communication and Language Skills,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Early Childhood Education
sports science,27,High School,Medium,4.6,Easy,Good,Male,UK,Sports Nutrition, Sports Nutrition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sports Science
visual arts,19,High School,Low,4.5,Medium,Fair,Female,UK,Mixed Media, Mixed Media,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Visual Arts
health and wellness,18,High School,High,4.8,Medium,Fair,Female,US,Aging and Gerontology, Aging and Gerontology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Health and Wellness
geology,23,College,Medium,4.4,Medium,Fair,Female,Australia,Economic Geology, Economic Geology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Geology
social work,29,College,Low,4.1,Easy,Good,Male,India,Social Networks and Health Promotion, Social Networks and Health Promotion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Social Work
management,29,College,High,4.5,Easy,Good,Male,Australia,Strategic Management, Strategic Management,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Management
management,22,College,High,3.5,Medium,Good,Female,Canada,Decision Making and Problem Solving, Decision Making and Problem Solving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Management
gender studies,19,College,High,4.3,Easy,Good,Female,India,Feminist Theory, Feminist Theory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gender Studies
public administration,26,College,High,4.6,Medium,Good,Female,India,Public Sector Leadership and Governance, Public Sector Leadership and Governance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Public Administration
education,22,College,Low,4.5,Medium,Fair,Male,Australia,Education,Education,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Education
agriculture,24,High School,High,4.3,Easy,Good,Female,UK,Plant Science,Plant Science,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Agriculture
performing arts,28,College,Low,3.9,Medium,Fair,Female,India,Media and Cultural Studies, Media and Cultural Studies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Performing Arts
linguistics,23,College,Low,4.8,Easy,Good,Male,India,Sociolinguistic Variation, Sociolinguistic Variation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Linguistics
public administration,29,High School,High,3.9,Medium,Fair,Female,UK,Intergovernmental Relations, Intergovernmental Relations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Public Administration
geology,23,High School,Low,3.7,Medium,Good,Male,India,Sedimentology, Sedimentology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Geology
sports science,18,College,High,4.9,Medium,Good,Male,Canada,Biomechanics in Sports, Biomechanics in Sports,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sports Science
food science,23,College,Low,3.6,Easy,Good,Male,Canada,Food Product Development, Food Product Development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food Science
public administration,29,College,Medium,4.4,Medium,Fair,Female,India,Public Administration and Technology, Public Administration and Technology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Public Administration
food science,26,High School,Low,4.0,Medium,Fair,Female,India,Food Safety and Quality Assurance, Food Safety and Quality Assurance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food Science
legal studies,27,College,Medium,4.1,Easy,Good,Female,Canada,Criminal Law, Criminal Law,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Legal Studies
finance,22,College,High,3.5,Medium,Fair,Female,Australia,Mergers and Acquisitions, Mergers and Acquisitions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Finance
hospitality management,19,College,Low,4.6,Medium,Good,Female,UK,Sustainability in Hospitality, Sustainability in Hospitality,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hospitality Management
journalism,24,High School,Low,3.9,Medium,Good,Female,India,Journalism and Social Media, Journalism and Social Media,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Journalism
performing arts,18,College,Low,4.1,Medium,Fair,Male,Australia,Media Research Methods, Media Research Methods,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Performing Arts
education,18,High School,Low,4.3,Medium,Good,Female,Australia,Education,Education,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Education
anthropology,29,College,Medium,4.5,Medium,Good,Male,Canada,Indigenous Studies, Indigenous Studies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Anthropology
management,19,College,Low,4.7,Medium,Good,Female,Canada,Knowledge Management, Knowledge Management,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Management
public health,22,College,High,5.0,Medium,Fair,Male,India,Infectious Disease Control, Infectious Disease Control,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Public Health
writing,19,College,High,3.6,Easy,Good,Female,UK,Business Writing, Business Writing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Writing
communications technology,21,High School,High,4.6,Medium,Good,Male,UK,Optical Communication, Optical Communication,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Communications Technology
information systems,28,College,Low,4.0,Easy,Fair,Female,UK,Mobile Application Development, Mobile Application Development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Information Systems
visual arts,29,College,Low,4.9,Medium,Good,Female,Australia,Graphic Design, Graphic Design,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Visual Arts
logistics and supply chain management,18,High School,Medium,4.5,Medium,Good,Female,India,Supply Chain Information Systems, Supply Chain Information Systems,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Logistics and Supply Chain Management
logistics and supply chain management,27,College,Medium,4.0,Easy,Fair,Female,Australia,Demand Forecasting and Planning, Demand Forecasting and Planning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Logistics and Supply Chain Management
education,23,College,Medium,5.0,Easy,Good,Male,Australia,Education,Education,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Education
media and communication studies,27,High School,Low,4.1,Easy,Fair,Female,UK,Media Psychology, Media Psychology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Media and Communication Studies
data science,22,College,Medium,3.8,Easy,Fair,Male,UK,Exploratory Data Analysis, Exploratory Data Analysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Data Science
environmental science,19,High School,Medium,4.2,Easy,Good,Female,Canada,Environmental Science,Environmental Science,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Environmental Science
information systems,19,College,Medium,4.8,Medium,Good,Male,India,Systems Analysis and Design, Systems Analysis and Design,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Information Systems
sports science,23,College,High,4.7,Medium,Good,Female,Canada,Sports Medicine and Injury Prevention, Sports Medicine and Injury Prevention,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sports Science
international relations,19,High School,Low,4.3,Medium,Fair,Female,India,Diplomacy and Negotiation, Diplomacy and Negotiation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,International Relations
performing arts,29,College,Medium,3.6,Medium,Fair,Male,Australia,Media Production and Editing, Media Production and Editing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Performing Arts
communications technology,28,College,Medium,4.2,Medium,Fair,Male,UK,Mobile Communication, Mobile Communication,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Communications Technology
public health,23,High School,High,3.7,Easy,Fair,Male,US,Health Communication and Behavior Change, Health Communication and Behavior Change,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Public Health
performing arts,29,High School,High,4.4,Easy,Fair,Female,India,Intercultural Communication, Intercultural Communication,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Performing Arts
education,24,College,Low,3.9,Medium,Fair,Female,Canada,Education,Education,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Education
international business,26,High School,High,4.2,Easy,Fair,Male,India,Multinational Operations and Management, Multinational Operations and Management,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,International Business
journalism,25,High School,Medium,4.3,Easy,Fair,Female,Canada,Opinion Writing and Editorial Journalism, Opinion Writing and Editorial Journalism,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Journalism
media and communication studies,29,High School,Medium,3.7,Easy,Fair,Male,US,Media Ethics and Law, Media Ethics and Law,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Media and Communication Studies
data science,28,College,High,4.9,Easy,Good,Female,Australia,Big Data Analytics, Big Data Analytics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Data Science
